"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Smart Personalization of My Home","Personalize your home page by adding insights cards.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J226","","","https://discovery-center.cloud.sap/ai-feature/5205d1ac-b2a1-413b-8d5c-a01e22311cad/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Smart Personalization of My Home for Applications","Personalize your home page by adding apps.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J934","","","https://discovery-center.cloud.sap/ai-feature/2b5df257-bdfd-4396-a48b-a8362b2e02f7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Smart Predict","Create predictive models‚ deliver accurate predictions for analytics & planning.","SAP Analytics Cloud","Technology Platform","Base","Generally Available","Generally Available","J893","","","https://discovery-center.cloud.sap/ai-feature/3e3dbf93-52e2-4a08-b6f3-58b7396bc445/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Smart Scheduling","Streamline and optimize your calendar management.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J16","","","https://discovery-center.cloud.sap/ai-feature/95c190b5-0576-4ec8-afd1-5454d0329702/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Smart Solution for Situations in My Home","Provide resolution suggestions directly on the homepage.","SAP S/4HANA Cloud Public Edition","Financial Management","","Beta","Beta","J181","","","https://discovery-center.cloud.sap/ai-feature/5a6f7a49-1bbf-4e9b-b2e0-57aad5f2de6d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Smart Summarization","Jump start your communications or follow-ups by generated text proposals.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J90","","","https://discovery-center.cloud.sap/ai-feature/a66caf9e-90e0-44c3-9f4a-47aa40f6027b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","SOW Deliverables Creation","Create precise and relevant SOW deliverables based on project scope.","SAP Fieldglass Services Procurement","Supplier Management","Premium","Generally Available","Generally Available","J499","","","https://discovery-center.cloud.sap/ai-feature/ab95fb1c-6563-45f3-81c3-97e2ae526950/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","SOW Description Creation","Simplify SOW collaboration with AI-enhanced descriptions.","SAP Fieldglass Services Procurement","Spend Management","Premium","Generally Available","Generally Available","J77","","","https://discovery-center.cloud.sap/ai-feature/05a8ad20-8b56-4279-85ac-94136f8cc4d3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","SOW Worker Role Recommendations","Generate AI-driven worker role recommendations based on your SOW context.","SAP Fieldglass Services Procurement","Spend Management","Base","Generally Available","Generally Available","J1161","","","https://discovery-center.cloud.sap/ai-feature/ce1ae953-6601-4eb3-acdf-fc24b16c0311/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Spend Categorization","Automatically predict UNSPSC hierarchy from spend data using FFN classification.","SAP Spend Control Tower","Technology Platform","Base","Generally Available","Generally Available","J155","","","https://discovery-center.cloud.sap/ai-feature/0c83b1a0-0b73-413a-ae04-4017e4b82a83/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Standard Tools","Role specific prompts utilizing CX data to generate discovery questions etc.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J56","","","https://discovery-center.cloud.sap/ai-feature/7c97317c-5b65-48d4-9288-540f6aca8e8d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Strategy Summarizer","Generate summaries of category strategy documents.","SAP Ariba Category Management","Spend Management","Premium","Generally Available","Generally Available","J605","","","https://discovery-center.cloud.sap/ai-feature/e5329885-d1a9-4fbe-97cd-eea7e62b70c4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Subject Line Generator","Context-driven generation of email subject lines.","SAP Engagement Cloud","Customer Relationship Management","Base","Generally Available","Generally Available","J20","","","https://discovery-center.cloud.sap/ai-feature/69ff31b4-d15f-4b9e-b485-3b9cc3116550/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Successor Insights","Get insights on candidates to help with succession planning.","SAP SuccessFactors Career and Talent Development","Human Capital Management","Premium","Generally Available","Generally Available","J767","","","https://discovery-center.cloud.sap/ai-feature/c43b18e8-460c-4163-95f1-cc0342299995/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Successor Recommendation","View recommended successors based on skills‚ competencies‚ and experience.","SAP SuccessFactors Succession & Development","Human Capital Management","Premium","Generally Available","Generally Available","J1068","","","https://discovery-center.cloud.sap/ai-feature/9ec70701-a3c5-4be6-bfc3-e9ff5008d13b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Supplier Delivery Date Prediction","Predict delivery dates for purchase order items based on historical data.","SAP S/4HANA Cloud Private Edition","Cloud ERP applications","Base","Generally Available","Generally Available","J811","SAP S/4HANA 1909 FPS00","","https://discovery-center.cloud.sap/ai-feature/c264b09d-42ca-4256-8d8e-0da5af6c838a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Supplier Invoice File Extraction","Enhance data extraction accuracy for complex invoice layouts.","SAP Ariba Invoicing","Spend Management","Base","Generally Available","Generally Available","J843","","","https://discovery-center.cloud.sap/ai-feature/5d5fda3a-7fcc-49b2-b997-54813c31bfed/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Supplier Matching","Match‚ enrich‚ and validate supplier data for accurate reporting.","SAP Spend Control Tower","Technology Platform","Base","Generally Available","Generally Available","J156","","","https://discovery-center.cloud.sap/ai-feature/efc4ab1c-a634-4a15-a4be-3d6871487e9b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Supplier Prediction","Suggests suppliers for guided sourcing events based on past similar events.","SAP Ariba Sourcing","Spend Management","Base","Generally Available","Generally Available","J842","","","https://discovery-center.cloud.sap/ai-feature/1fe463ff-29c7-4fe9-83f4-23a9ab36bca6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Survey Trend Summary","Provide contextual guidance on improving the sales representative’s store visits","SAP Sales Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J60","","","https://discovery-center.cloud.sap/ai-feature/be5a87ca-9bc3-48d6-ae9c-b7b2bc9a2d2a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Task Automation","Enables users to create and run automated processes from natural language input.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","","Beta","Beta","J1164","","","https://discovery-center.cloud.sap/ai-feature/0d089203-038a-4f68-a7e0-79078e26eae4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Team Goals","Build meaningful and inspiring team goals.","SAP SuccessFactors Performance and Goals","Human Capital Management","Premium","Generally Available","Generally Available","J274","","","https://discovery-center.cloud.sap/ai-feature/60263926-2bb3-4e38-b7bc-15a0d9b4004b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Text Analyzer","Analyze content within supported text areas for bias‚ safety‚ and responsibility","SAP SuccessFactors solutions","Human Capital Management","Premium","Generally Available","Generally Available","J768","","","https://discovery-center.cloud.sap/ai-feature/84324196-d27c-419b-ab13-10bfd6deddb8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Text Generation","Help product managers enrich or simplify the text content based on the field.","SAP Integrated Product Development","Supply Chain Management","Base","Generally Available","Generally Available","J71","","","https://discovery-center.cloud.sap/ai-feature/d5113c03-265d-4d5d-a12d-16df0cb4b7c8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Trade Promotion Creation","Name a promo and AI pre-fills fields faster‚ compliant and each time.","SAP Revenue Growth Management","Customer Relationship Management","Base","Generally Available","Generally Available","J684","","","https://discovery-center.cloud.sap/ai-feature/7505a897-3bb9-49d1-8db0-5f27dd0aa2ab/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Transformation Advisory‚ Initiative Builder","Identify strategy-aligned opportunities and accelerate transformation execution.","SAP Signavio solutions","Business Transformation Management","Base","Generally Available","Generally Available","J967","","","https://discovery-center.cloud.sap/ai-feature/9ced0e83-412a-4e06-beda-6ef81e4bce95/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Translation Support","Help users translate customized technical terms.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J48","","","https://discovery-center.cloud.sap/ai-feature/6719d6d7-fda7-4ea9-b0dd-43b99fbab6b6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","UI Generation from Data","Automatically generate pages based on integrated data entities.","SAP Build Apps","Technology Platform","Base","Generally Available","Generally Available","J193","","","https://discovery-center.cloud.sap/ai-feature/691b7e82-b4ee-41f2-aae3-43b5b81be6f6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Unified Demand Forecast Component","Forecast consumer demand for products.","SAP Customer Activity Repository","Customer Relationship Management","Base","Generally Available","Generally Available","J1404","","","https://discovery-center.cloud.sap/ai-feature/a23536c8-ea76-4b16-97af-91cd8128f129/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","User Learning and Change Management","Accelerate adoption & reduce costs with AI for user learning lifecycle.","SAP Micro-App Hub","Technology Platform","Premium","Generally Available","Generally Available","J393","","","https://discovery-center.cloud.sap/ai-feature/f5849de1-7fb6-4849-84a6-a6bec610db33/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Verify","Check expense reports to identify errors and compliance issues.","Concur Expense","Spend Management","Base","Generally Available","Generally Available","J840","","","https://discovery-center.cloud.sap/ai-feature/e09f662e-cec3-404d-b98c-f83fe6174310/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Visual Inspection","Monitor asset conditions from visual inspections.","SAP Asset Performance Management","Supply Chain Management","Base","Generally Available","Generally Available","J168","","","https://discovery-center.cloud.sap/ai-feature/63024b68-9658-4758-8086-837e1334c3aa/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Visual Search","Find products in your catalog that match an uploaded image.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J10","","","https://discovery-center.cloud.sap/ai-feature/4a375760-55ec-45ab-9642-37ac252a59a6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Workspace","Configure‚ manage‚ and analyze SAP Document AI schemas‚ channels and workflows.","SAP Document AI","Technology Platform","Premium","Generally Available","Generally Available","J924","","","https://discovery-center.cloud.sap/ai-feature/41b32187-96c9-4780-aa15-fc3cdfac1006/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Writing - translation","Translate written content in supported text areas.","SAP SuccessFactors solutions","Human Capital Management","Premium","Generally Available","Generally Available","J138","","","https://discovery-center.cloud.sap/ai-feature/56f727c9-1bb9-4b39-91c6-1928e855ce99/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","2D Hotspot Creation","Automatically create hotspots on 2D drawings and tag with business data.","SAP Integrated Product Development","Supply Chain Management","","Beta","Beta","J172","","","https://discovery-center.cloud.sap/ai-feature/c523c267-0a3d-4430-9cba-e75df8caac1b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","AI-Assisted Scouting","Q&A on scouting reports and match reports.","SAP Sports One","Technology Platform","Base","Generally Available","Generally Available","J302","","","https://discovery-center.cloud.sap/ai-feature/5bd44b95-d8b0-4bcb-af6d-83f9d6b54d0c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Allocation Run Results","View allocation results attributes and navigate to results app.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J1003","","","https://discovery-center.cloud.sap/ai-feature/58e5fdf9-b00a-414b-97ef-74c65c21b10b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Analytical Insights","Get analytical insights with natural language from any SAP business application.","Joule","Technology Platform","Base","Generally Available","Generally Available","J148","","","https://discovery-center.cloud.sap/ai-feature/b354ca6f-3bbc-43d0-9c83-b3140b925962/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Back Order Processing","Faster‚ smarter BOP execution powered by intuitive‚ prompt-driven interactions.","SAP S/4HANA Cloud Public Edition","Supply Chain Management","Base","Generally Available","Generally Available","J597","","","https://discovery-center.cloud.sap/ai-feature/88bf4617-8a77-4dfb-8950-fc00a67cc01d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Batch Release Processing","Users can easily access critical information and make decisions swiftly.","SAP Batch Release Hub for Life Sciences","Product Lifecycle Management","Base","Generally Available","Generally Available","J304","","","https://discovery-center.cloud.sap/ai-feature/8d70903b-faa7-4f5d-ae4a-123557fdd733/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","BPMN Simulation Insights","Transform simulation results into AI-powered insights for faster decisions.","SAP Signavio solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J1143","","","https://discovery-center.cloud.sap/ai-feature/45016b64-67d3-457e-a836-9ac08b193722/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Carbon Emission Analysis","Generate ad hoc reports for detailed carbon data analysis.","SAP Green Ledger","Financial Management","Premium","Early Adopter Care (EAC)","Early Adopter / EAC","J529","","","https://discovery-center.cloud.sap/ai-feature/e3bee344-1efb-413b-971c-f837c1474b07/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Central Governance","Streamline master data governance tasks using natural language.","SAP S/4HANA Cloud for master data governance‚ private edition","Cloud ERP applications","Base","Generally Available","Generally Available","J535","SAP S/4HANA 2023 FPS0","","https://discovery-center.cloud.sap/ai-feature/a0399e7f-e105-40a9-9169-d63e768735b8/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Creation of Fixed Asset Master Data","Facilitate the creation of fixed asset master data with Joule.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J298","","","https://discovery-center.cloud.sap/ai-feature/095edf47-cb36-48d8-bd8f-9a4bc9517991/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Database Administration","AI-powered tool for task simplification and efficiency enhancement.","SAP HANA Cloud","Technology Platform","Base","Generally Available","Generally Available","J214","","","https://discovery-center.cloud.sap/ai-feature/28b14ec8-e7be-4966-b33e-787021b2d05d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Deep Research Capability","Get tailored business insights combining internal SAP and external web data.","Joule","Technology Platform","","Beta","Beta","J1173","","","https://discovery-center.cloud.sap/ai-feature/0cbab727-02fe-47d3-9bf1-ff96d6c2ae62/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Document Grounding","Add context to Joule Q&A using information retrieved from custom documents.","Document Grounding","Technology Platform","Premium","Generally Available","Generally Available","J73","","","https://discovery-center.cloud.sap/ai-feature/fedeca14-3e69-472c-a0ea-82396735c35f/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Document Summary","Summarize complex engineering documents for faster insights and decision making.","SAP Integrated Product Development","Supply Chain Management","Base","Generally Available","Generally Available","J194","","","https://discovery-center.cloud.sap/ai-feature/e8f27a24-5dcd-4b3d-a3db-5c246fde9da5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Electronic Document Error Handling","Get easy-to-understand explanations for electronic document errors with Joule.","SAP Document and Reporting Compliance","Technology Platform","Base","Generally Available","Generally Available","J305","","","https://discovery-center.cloud.sap/ai-feature/1a1b66db-191d-41e6-b01d-d69b4d645850/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13","Canonical Joule-tagged record for a duplicate also listed as J1137."
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Email Campaign Duplication","Enable marketers to copy an existing campaign.","SAP Engagement Cloud","Customer Relationship Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J1442","","","https://discovery-center.cloud.sap/ai-feature/daed24bd-daeb-465d-a075-b688cdbfa759/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Error Resolution for Cost Accounting","Explain errors to the business user and offer smart actions.","SAP S/4HANA Cloud Public Edition","Financial Management","Base","Generally Available","Generally Available","J336","","","https://discovery-center.cloud.sap/ai-feature/56d1e4d0-5c07-4aa8-b226-64c8dd99750d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Expiring Price Handling","Quickly detect and update all expiring prices in pricing systems with Joule.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","Base","Generally Available","Generally Available","J313","","","https://discovery-center.cloud.sap/ai-feature/577815a8-947e-4a06-a961-1307ddc49242/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Explain Pay","Provide answers and explanations to questions regarding pay using Joule.","SAP SuccessFactors Employee Central Payroll","Human Capital Management","Premium","Generally Available","Generally Available","J266","","","https://discovery-center.cloud.sap/ai-feature/49beea9f-592e-413b-9370-e3fb4d3efaec/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Generation of Full-Stack Applications","Generate full-stack applications using natural language in SAP Build Code.","SAP Build Code","Technology Platform","Base","Generally Available","Generally Available","J36","","","https://discovery-center.cloud.sap/ai-feature/98319fdc-fd0d-4887-bba2-a3d6a15f31ed/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Generation of SAP Fiori Elements and SAPUI5 Applications","Generate full-stack applications using  natural language in SAP Build Code.","SAP Build Code","Technology Platform","Base","Generally Available","Generally Available","J114","","","https://discovery-center.cloud.sap/ai-feature/08cc63b7-8fd7-4535-a9d6-f66a9030174c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Generation of SAP HANA Applications","Generate SAP HANA applications using natural language in SAP Build Code.","SAP Build Code","Technology Platform","Base","Generally Available","Generally Available","J116","","","https://discovery-center.cloud.sap/ai-feature/7ee277ac-20af-4458-bb5a-8836d6a51899/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Generation of SAP Mobile Applications","Generate SAP Mobile applications using natural language in SAP Build Code.","SAP Build Code","Technology Platform","Base","Generally Available","Generally Available","J115","","","https://discovery-center.cloud.sap/ai-feature/9cd6bb5e-4178-44c2-b5b3-325c561273e4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Named task / general capability","Incentive and Payment Insights","Get quick answers in natural language to incentive management questions.","SAP Incentive Management","Customer Relationship Management","Base","Generally Available","Generally Available","J192","","","https://discovery-center.cloud.sap/ai-feature/3fd1195b-1516-41e0-bbae-091865f28202/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule and Microsoft 365 Copilot","Bi-directional integration between Joule and Microsoft 365 Copilot.","Joule","Technology Platform","Base","Generally Available","Generally Available","J762","","","https://discovery-center.cloud.sap/ai-feature/4dfa3fea-c5d2-40e3-959d-317b07b6b64e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule Q&A","Get answers about an organization’s HR policy documents.","SAP SuccessFactors solutions","Human Capital Management","Base","Generally Available","Generally Available","J69","","","https://discovery-center.cloud.sap/ai-feature/a1bff183-cd0b-4671-bf79-989b9bae42a2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with  SAP Integrated Product Development","Joule assisted navigation to SAP Integrated Product Development applications.","SAP Integrated Product Development","Supply Chain Management","Base","Generally Available","Generally Available","J105","","","https://discovery-center.cloud.sap/ai-feature/ae03f251-ef7d-47cf-b7c5-cd15bb3b5d9e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with Concur solutions","Get smart support to minimize errors and simplify expense submission.","Concur solutions","Spend Management","Base","Generally Available","Generally Available","J171","","","https://discovery-center.cloud.sap/ai-feature/d606b980-bcf2-4258-8153-f2ea05dd0730/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with Regulatory Change Manager","Discover and evaluate regulatory updates and maintain compliance.","Regulatory Change Manager","Technology Platform","Base","Generally Available","Generally Available","J85","","","https://discovery-center.cloud.sap/ai-feature/90b39e72-5dd5-4ae1-aef1-840c6e1ff6b2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Ariba solutions","Streamline your informational‚ navigational‚ and transactional tasks.","SAP Ariba solutions","Spend Management","Base","Generally Available","Generally Available","J158","","","https://discovery-center.cloud.sap/ai-feature/4db522da-c249-46e3-9e0c-af03f663aba0/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Asset Performance Management","Get quick answers based on product documentation.","SAP Asset Performance Management","Supply Chain Management","Base","Generally Available","Generally Available","J107","","","https://discovery-center.cloud.sap/ai-feature/4bb1fe03-5a2a-419a-a224-a5b40640903d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP BTP‚ Kyma runtime","Assistant to help with getting started‚ troubleshoot issues‚ and more.","SAP BTP‚ Kyma runtime","Technology Platform","Base","Generally Available","Generally Available","J50","","","https://discovery-center.cloud.sap/ai-feature/54f43edb-71bb-4560-bb23-452f34610374/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Build Work Zone","Interact with SAP apps and Work Zone via natural language for instant actions.","SAP Build Work Zone","Technology Platform","Base","Generally Available","Generally Available","J145","","","https://discovery-center.cloud.sap/ai-feature/8be96d98-f16d-41b4-968c-c295043c1d73/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Business Accelerator Hub","Find relevant prebuilt content using Joule with natural language search.","SAP Business Accelerator Hub","Technology Platform","","Beta","Beta","J291","","","https://discovery-center.cloud.sap/ai-feature/5b1c80e7-ae6a-45eb-89cf-cf7114bb00d4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Business Technology Platform","Quickly retrieve information about SAP BTP and your accounts with Joule.","SAP Business Technology Platform","Technology Platform","Base","Generally Available","Generally Available","J57","","","https://discovery-center.cloud.sap/ai-feature/9c079680-7938-4ddd-83c4-3d89a7943311/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Datasphere","Streamline your SAP Datasphere tasks with an AI copilot.","SAP Datasphere","Technology Platform","Base","Generally Available","Generally Available","J294","","","https://discovery-center.cloud.sap/ai-feature/a2bc2dd0-4f0b-4d82-9f94-c3baaac6c83b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Joule Capability / Product Integration","Joule experience / product integration","Joule with SAP Digital Manufacturing","Get quick answers based on product documentation.","SAP Digital Manufacturing","Supply Chain Management","Base","Generally Available","Generally Available","J286","","","https://discovery-center.cloud.sap/ai-feature/edf06dbd-9d29-45b2-93d0-8399c7c34efa/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
